ID,TAXANR,PRNAVN,PRNAVN1,GNAVN,NAVN,AUTNR,AUTHOR,AUTSTAT,TAXATYPE,SYNONYMNR,GNR,GYLDIG,PREVTAXA
10294,10267,Campanula bellardii,Campanula bellardii,,bellardii,21,All.,,A,10266,10266,FALSE,1981
10295,10268,Campanula pusilla,Campanula pusilla,,pusilla,514,Haenke,,A,10266,10266,FALSE,1981
17077,17077,Ranunculus xxx,Ranunculus xxx,,xxx,0,,,A,0,,FALSE,476
4448,4422,Abies,Abies,Abies,Abies,3,Mill.,,G,0,4422,TRUE,118
4449,4423,Abies alba,Abies alba,Abies alba,alba,3,Mill.,,A,0,4423,TRUE,4422
6348,6348,Abies picea,Abies picea,Abies alba,picea,2282,(L.) Bluff & Fingerh.,,A,4423,4423,FALSE,4422
6349,6349,Abies pectinata,Abies pectinata,Abies alba,pectinata,410,(Lam.) DC.,,A,4423,4423,FALSE,4422
6350,6350,Pinus pectinata,Pinus pectinata,Abies alba,pectinata,10,Lam.,,A,4423,4423,FALSE,119
6351,6351,Pinus picea,Pinus picea,Abies alba,picea,1,L.,,A,4423,4423,FALSE,119
16360,16360,Abies amabilis,Abies amabilis,Abies amabilis,amabilis,5405,Douglas ex J.Forbes,,A,0,16360,TRUE,4422
8553,8540,Abies balsamea,Abies balsamea,Abies balsamea,balsamea,42,(L.) Mill.,,A,0,8540,TRUE,4422
10822,10766,Pinus balsamea,Pinus balsamea,Abies balsamea,balsamea,1,L.,,A,8540,8540,FALSE,119
8904,8972,Abies cephalonica,Abies cephalonica,Abies cephalonica,cephalonica,1226,Loud.,,A,0,8972,TRUE,4422
8556,8543,Abies concolor,Abies concolor,Abies concolor,concolor,6114,(Gordon & Glend.) Lindl. ex Hildebr.,,A,0,8543,TRUE,4422
8884,8884,Abies grandis,Abies grandis,Abies grandis,grandis,1794,(Douglas ex D.Don) Lindl.,,A,0,8884,TRUE,4422
8905,8973,Abies koreana,Abies koreana,Abies koreana,koreana,1026,E.H.Wilson,,A,0,8973,TRUE,4422
8906,8974,Abies lasiocarpa,Abies lasiocarpa,Abies lasiocarpa,lasiocarpa,2032,(Hook.) Nutt.,,A,0,8974,TRUE,4422
15860,15817,Abies balsamea var. fallax,Abies balsamea var. fallax,Abies lasiocarpa,fallax,5256,(Engelm.) B.Boivin,,V,8974,8974,FALSE,8540
8883,8883,Abies nordmanniana,Abies nordmanniana,Abies nordmanniana,nordmanniana,2832,(Steven) Spach,,A,0,8883,TRUE,4422
16372,16372,Abies orientalis,Abies orientalis,Abies orientalis,orientalis,103,Poir.,,A,0,16372,TRUE,4422
8554,8541,Abies procera,Abies procera,Abies procera,procera,5591,Rehder,,A,0,8541,TRUE,4422
8555,8542,Abies nobilis,Abies nobilis,Abies procera,nobilis,1794,(Douglas ex D.Don) Lindl.,,A,8541,8541,FALSE,4422
8552,8539,Abies sibirica,Abies sibirica,Abies sibirica,sibirica,64,Ledeb.,,A,0,8539,TRUE,4422
8907,8975,Abies veitchii,Abies veitchii,Abies veitchii,veitchii,53,Lindl.,,A,0,8975,TRUE,4422
14764,14764,Absinthium,Absinthium,Absinthium,Absinthium,4907,(DC.) Less.,,G,0,14764,TRUE,2003
1216,1216,Abutilon,Abutilon,Abutilon,Abutilon,3,Mill.,,G,0,1216,TRUE,1200
1217,1217,Abutilon theophrasti,Abutilon theophrasti,Abutilon theophrasti,theophrasti,54,Medik.,,A,0,1217,TRUE,1216
4385,4385,Abutilon avicennae,Abutilon avicennae,Abutilon theophrasti,avicennae,46,Gaertn.,,A,1217,1217,FALSE,1216
7184,7184,Acanthoxanthium,Acanthoxanthium,Acanthoxanthium,Acanthoxanthium,335,Fourr.,,G,0,7184,TRUE,2003
2061,2061,Xanthium spinosum,Xanthium spinosum,Acanthoxanthium spinosum,spinosum,1,L.,,A,7185,7185,FALSE,2060
7185,7185,Acanthoxanthium spinosum,Acanthoxanthium spinosum,Acanthoxanthium spinosum,spinosum,197,(L.) Fourr.,,A,0,7185,TRUE,7184
1173,1173,Acer,Acer,Acer,Acer,1,L.,,G,0,1173,TRUE,1172
1175,1175,Acer campestre,Acer campestre,Acer campestre,campestre,1,L.,,A,0,1175,TRUE,1173
9320,9320,Acer ginnala,Acer ginnala,Acer ginnala,ginnala,168,Maxim.,,A,0,9320,TRUE,1173
9318,9318,Acer negundo,Acer negundo,Acer negundo,negundo,1,L.,,A,0,9318,TRUE,1173
1174,1174,Acer platanoides,Acer platanoides,Acer platanoides,platanoides,1,L.,,A,0,1174,TRUE,1173
1176,1176,Acer pseudoplatanus,Acer pseudoplatanus,Acer pseudoplatanus,pseudoplatanus,1,L.,,A,0,1176,TRUE,1173
9319,9319,Acer tataricum,Acer tataricum,Acer tataricum,tataricum,1,L.,,A,0,9319,TRUE,1173
1172,1172,Aceraceae,Aceraceae,Aceraceae,Aceraceae,0,,,F,0,1172,TRUE,0
6935,6842,Acetosa,Acetosa,Acetosa,Acetosa,3,Mill.,,G,0,6842,TRUE,209
6953,6860,Acetosella,Acetosella,Acetosella,Acetosella,838,(Rudolph ex Lamb.) A.Löve,,G,0,6860,TRUE,209
2089,2089,Achillea,Achillea,Achillea,Achillea,1,L.,,G,0,2089,TRUE,2003
10688,10632,Achillea filipendulina,Achillea filipendulina,Achillea filipendulina,filipendulina,10,Lam.,,A,0,10632,TRUE,2089
7497,7770,Achillea impatiens,Achillea impatiens,Achillea impatiens,impatiens,1,L.,,A,0,7770,TRUE,2089
2090,2090,Achillea millefolium,Achillea millefolium,Achillea millefolium,millefolium,1,L.,,A,0,2090,TRUE,2089
14670,14670,Achillea millefolium ssp. borealis,Achillea millefolium ssp. borealis,Achillea millefolium ssp. borealis,borealis,4866,(Bong.) Breitung,,S,0,14670,TRUE,2090
14671,14671,Achillea millefolium var. nigrescens,Achillea millefolium var. nigrescens,Achillea millefolium ssp. borealis,nigrescens,4867,E.Mey.,,V,14670,14670,FALSE,2090
14672,14672,Achillea borealis,Achillea borealis,Achillea millefolium ssp. borealis,borealis,323,Bong.,,A,14670,14670,FALSE,2089
14673,14673,Achillea nigrescens,Achillea nigrescens,Achillea millefolium ssp. borealis,nigrescens,4868,(E.Mey.) Rydb.,,A,14670,14670,FALSE,2089
14674,14674,Achillea millefolium ssp. sudetica,Achillea millefolium ssp. sudetica,Achillea millefolium ssp. borealis,sudetica,2,auct.,,S,14670,14670,FALSE,2090
14676,14676,Achillea millefolium ssp. lanulosa,Achillea millefolium ssp. lanulosa,Achillea millefolium ssp. lanulosa,lanulosa,4869,(Nutt.) Piper,,S,0,14676,TRUE,2090
14677,14677,Achillea lanulosa,Achillea lanulosa,Achillea millefolium ssp. lanulosa,lanulosa,73,Nutt.,,A,14676,14676,FALSE,2089
4058,4058,Achillea millefolium ssp. millefolium,Achillea millefolium ssp. millefolium,Achillea millefolium ssp. millefolium,millefolium,0,,,S,0,4058,TRUE,2090
14675,14675,Achillea apiculata,Achillea apiculata,Achillea millefolium ssp. millefolium,apiculata,193,N.I.Orlova,,A,4058,4058,FALSE,2089
4059,4059,Achillea millefolium ssp. sudetica,Achillea millefolium ssp. sudetica,Achillea millefolium ssp. sudetica,sudetica,2544,(Opiz) Weiss,,S,0,4059,TRUE,2090
10226,10199,Achillea millefolium var. sudetica,Achillea millefolium var. sudetica,Achillea millefolium ssp. sudetica,sudetica,66,Opiz,,V,4059,4059,FALSE,2090
14686,14686,Achillea multiflora,Achillea multiflora,Achillea multiflora,multiflora,121,Hook.,,A,0,14686,TRUE,2089
14687,14687,Ptarmica multiflora,Ptarmica multiflora,Achillea multiflora,multiflora,4877,(Hook.) Tzvelev,,A,14686,14686,FALSE,11131
